Viral ID,Line,Sex,Infection Day,Lifespan,Mean Viral Titre per Well,Viral Titre per Well SD,Viral Titre per Fly,log10(Viral Titre per Fly +1),Ct_Rep1,Ct_Rep2,Ct_Mean,Quantity_Rep1,Quantity_Rep2
459,818,Male,15/12/2015,14,0.136287123,0.192739098,85.17945188,1.935403728,32.39127731,Undetermined,32.39127731,0.272574246,0
460,818,Male,15/12/2015,3,1932297.188,57035.32136,1207685743,9.08195394,5.50583744,5.419495583,5.50583744,1891967.125,1972627.25
461,818,Male,15/12/2015,4,22834705,878338.3451,14271690625,10.15447542,4.594159603,4.512272835,5.006827593,22213626,23455784
462,818,Male,15/12/2015,14,0.111130148,0.157161763,69.4563425,1.847920095,Undetermined,31.26166153,7.825149536,0,0.222260296
473,765,Female,15/12/2015,21,0.012745071,0.018024253,7.965669375,0.952582719,35.20611191,Undetermined,35.20611191,0.025490142,0
474,765,Female,15/12/2015,4,826746.6563,16485.35491,516716660.2,8.713252465,7.247339725,7.189016342,7.247339725,815089.75,838403.5625
475,765,Female,15/12/2015,28,166683256,8965536.986,1.04E+11,11.01777199,6.793577194,6.690317154,6.991296768,160343664,173022848
476,765,Female,15/12/2015,28,1117430.625,90252.81145,698394140.6,8.844100588,6.480010033,6.716494083,6.480010033,1181249,1053612.25
477,765,Female,15/12/2015,4,0,0,0,0,Undetermined,Undetermined,6.716494083,0,0
488,818,Male,15/12/2015,21,0.842767179,0.011908845,526.7294869,2.722411361,29.81689453,29.78602028,29.80145741,0.834346354,0.851188004
489,818,Male,15/12/2015,4,775524.3125,9422.816578,484702695.3,8.685475436,7.33255434,7.368091583,7.350322962,782187.25,768861.375
490,818,Male,15/12/2015,4,0,0,0,0,Undetermined,Undetermined,Undetermined,0,0
491,818,Male,15/12/2015,28,36954182,1385688.875,23096363750,10.36354361,6.185378551,6.259961605,6.222670078,37934012,35974352
492,818,Male,15/12/2015,28,50378020,341419.4382,31486262500,10.49812111,5.77973175,5.793208599,5.786470175,50619440,50136600
493,818,Male,15/12/2015,14,0.244315609,0.059801341,152.6972556,2.186666113,32.85695267,32.3132515,32.58510208,0.202029675,0.286601543
494,818,Male,15/12/2015,3,0,0,0,0,Undetermined,Undetermined,Undetermined,0,0
495,818,Male,15/12/2015,3,15614639.5,4284018.455,9759149688,9.989411979,4.857809067,5.449233055,5.153521061,18643898,12585381
496,818,Male,15/12/2015,3,1266385.188,14330.84475,791490742.5,8.89844584,6.352696896,6.319598675,6.336147785,1256251.75,1276518.625
497,818,Male,15/12/2015,11,250.3971558,11.93510275,156498.2224,5.194512184,18.35814857,18.44828796,18.40321827,258.8365479,241.9577637
