Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
279,373,f,T,3,1,4,20.29073334,7609.025002,1,1.765231967,441.3079917,1,4,G10
280,373,f,T,3,2,5,22.89339066,8585.021496,1,0.159328565,39.83214125,1,16,F8
281,373,f,T,3,3,6,28.07780838,10529.17814,1,0,0,0,17,A6
282,373,f,T,3,1,4,0,0,0,11.4813385,2870.334625,1,19,A10
283,373,f,T,3,2,5,0,0,0,0,0,0,17,E5
284,373,f,T,3,3,6,0,0,0,0.176300451,44.07511279,1,2,C5
285,373,f,T,2,2,4,1.30241E-07,4.88405E-05,1,0.053055603,13.26390076,1,5,E7
286,373,f,T,2,3,5,86.07125854,32276.72195,1,3.205752373,801.4380932,1,4,G9
287,373,f,T,2,1,3,0.000444806,0.166802285,1,21.04428101,5261.070251,1,3,G5
289,373,f,T,2,2,4,0,0,0,0.126220226,31.55505657,1,12,D8
290,373,f,T,2,3,5,0,0,0,5.698893547,1424.723387,1,5,G5
291,373,f,T,2,1,3,0,0,0,0,0,0,17,E7
292,373,f,T,2,2,4,0,0,0,0,0,0,12,H7
293,373,f,T,2,3,5,0,0,0,0,0,0,18,D11
294,373,f,T,2,1,3,0,0,0,1.375176549,343.7941372,1,14,H6
295,373,f,T,2,2,4,126.1410294,47302.88601,1,0,0,0,17,A7
296,373,f,T,1,1,2,0,0,0,NA,NA,NA,8,A5
297,373,f,T,1,2,3,0.19742924,74.03596491,1,4.68403244,1171.00811,1,NA,NA
298,373,f,T,1,3,4,4.940190315,1852.571368,1,0.103576288,25.89407191,1,16,E7
299,373,f,T,1,1,2,0.149728775,56.14829063,1,0,0,0,9,A10
300,373,f,T,1,2,3,0.282066882,105.7750806,1,0.018317668,4.579416942,1,9,A8
301,373,f,T,1,3,4,0.274416268,102.9061005,1,0,0,0,16,D8
302,373,f,T,1,1,2,0.150463372,56.42376468,1,58.67593384,14668.98346,1,13,F10
303,373,f,T,1,2,3,0.220150039,82.55626447,1,0.035844389,8.961097337,1,9,G10
304,373,f,T,1,3,4,0.152765632,57.28711188,1,0.367673934,91.91848338,1,16,E4
305,373,f,T,1,1,2,0.024707099,9.265162284,1,0,0,0,15,E8
306,373,f,T,1,2,3,0,0,0,0,0,0,12,A8
307,138,f,T,2,2,4,0,0,0,10.69626617,2674.066544,1,21,F5
308,138,f,T,3,3,6,0,0,0,0.893809497,223.4523743,1,NA,NA
309,138,f,T,1,1,2,0.267647862,100.3679484,1,0,0,0,20,F8
310,138,f,T,3,2,5,1.349785686,506.1696321,1,0.089047037,22.26175927,1,13,D8
311,138,f,T,3,3,6,0,0,0,0,0,0,12,H6
312,138,f,T,3,1,4,0.082410648,30.90399317,1,0.11397177,28.49294245,1,6,D6
313,138,f,T,3,2,5,0.001502673,0.563502341,1,0,0,0,12,A5
314,138,f,T,3,3,6,0,0,0,0.736188591,184.0471476,1,14,G9
315,138,f,T,3,1,4,2.288040638,858.0152392,1,0,0,0,19,F5
316,138,f,T,3,2,5,0.03342513,12.53442373,1,0,0,0,19,F6
317,138,f,T,3,3,6,2.60430932,976.6159952,1,0.112708561,28.17714028,1,2,F5
318,138,f,T,3,1,4,3.16229105,1185.859144,1,0.622460306,155.6150764,1,NA,NA
319,138,f,T,2,1,3,0,0,0,0.076934621,19.23365518,1,NA,NA
320,138,f,T,2,2,4,1.780763626,667.7863598,1,0.55124259,137.8106475,1,7,H9
321,138,f,T,2,3,5,0,0,0,12.8880167,3222.004175,1,20,E12
322,138,f,T,2,1,3,49.68418884,18631.57082,1,0.133280694,33.32017362,1,3,F10
323,138,f,T,2,2,4,0,0,0,0.478292257,119.5730641,1,20,D9
324,138,f,T,2,3,5,117.529892,44073.70949,1,0.709346652,177.336663,1,2,G4
325,138,f,T,2,1,3,0,0,0,0.543177962,135.7944906,1,2,F11
326,138,f,T,2,2,4,33.39706802,12523.90051,1,0,0,0,15,B9
327,138,f,T,2,3,5,0,0,0,0,0,0,19,F9
328,138,f,T,2,1,3,3.71346E-07,0.000139255,1,5.753388405,1438.347101,1,4,E9
329,138,f,T,1,1,2,0,0,0,0,0,0,20,E7
330,138,f,T,1,2,3,0,0,0,0,0,0,19,F7
331,138,f,T,1,3,4,0,0,0,110.145546,27536.38649,1,5,H9
332,138,f,T,1,1,2,0,0,0,0,0,0,20,G6
333,138,f,T,1,2,3,0.076137431,28.55153661,1,0,0,0,20,G7
334,138,f,T,1,3,4,0.674107313,252.7902424,1,13.32458401,3331.146002,1,4,C7
335,138,f,T,1,1,2,0.121625632,45.60961202,1,0,0,0,13,A7
336,138,f,T,1,2,3,0.280861467,105.3230502,1,0,0,0,19,G10
337,138,f,T,1,3,4,0,0,0,4.04542017,1011.355042,1,NA,NA
338,138,f,T,1,1,2,0,0,0,0,0,0,9,H6
375,765,f,T,1,1,2,24.0850029,9031.876087,1,0,0,0,16,F7
376,765,f,T,3,3,6,0.008516522,3.193695797,1,0,0,0,10,B9
377,765,f,T,2,2,4,0,0,0,8.108586311,2027.146578,1,7,F7
378,765,f,T,3,3,6,1140.414673,427655.5023,1,0,0,0,9,D7
379,765,f,T,3,1,4,0,0,0,0,0,0,21,C5
380,765,f,T,3,2,5,35.81974411,13432.40404,1,0,0,0,15,H5
381,765,f,T,3,3,6,0,0,0,0.030482138,7.620534394,1,12,C5
382,765,f,T,3,1,4,0.283231795,106.2119231,1,0,0,0,17,F7
383,765,f,T,3,2,5,182.8301849,68561.31935,1,0,0,0,16,H7
384,765,f,T,3,3,6,2056.969971,771363.739,1,0,0,0,12,A9
385,765,f,T,3,1,4,511.3623962,191760.8986,1,15.81765747,3954.414368,1,4,C6
386,765,f,T,3,2,5,0,0,0,30.86979294,7717.448235,1,13,E5
387,765,f,T,3,3,6,3.037148714,1138.930768,1,0.425662905,106.4157262,1,2,H8
388,765,f,T,3,1,4,0.02152657,8.072463563,1,0,0,0,14,A7
389,765,f,T,2,3,5,0,0,0,12.55481434,3138.703585,1,21,G10
390,765,f,T,2,1,3,599.373291,224764.9841,1,0,0,0,16,B7
391,765,f,T,2,2,4,4.703144073,1763.679028,1,0,0,0,10,H9
392,765,f,T,2,3,5,0,0,0,0,0,0,13,A5
393,765,f,T,2,1,3,0,0,0,0,0,0,19,H10
394,765,f,T,2,2,4,12.89824104,4836.840391,1,0,0,0,19,F10
395,765,f,T,2,3,5,0,0,0,0,0,0,19,F8
396,765,f,T,2,1,3,1.060133338,397.5500017,1,0,0,0,14,C6
397,765,f,T,2,2,4,0,0,0,0.678811431,169.7028577,1,2,A5
398,765,f,T,2,3,5,0,0,0,0,0,0,13,D6
399,765,f,T,2,1,3,0,0,0,3.321137667,830.2844167,1,20,G10
400,765,f,T,1,3,4,NA,NA,NA,0,0,0,19,F12
401,765,f,T,1,1,2,9.986397743,3744.899154,1,6.087227345,1521.806836,1,8,G9
402,765,f,T,1,2,3,26.48138046,9930.517673,1,0.386043936,96.510984,1,10,H6
403,765,f,T,1,3,4,NA,NA,NA,0,0,0,15,H8
404,765,f,T,1,1,2,NA,NA,NA,4.978595257,1244.648814,1,4,D10
405,765,f,T,1,2,3,0,0,0,0,0,0,20,G5
406,765,f,T,1,3,4,NA,NA,NA,0.153896943,38.47423568,1,13,A6
407,765,f,T,1,1,2,0,0,0,0.414992303,103.7480757,1,19,C12
408,765,f,T,1,2,3,0,0,0,0,0,0,20,G8
409,765,f,T,1,3,4,NA,NA,NA,0.131435826,32.85895661,1,10,C7
410,765,f,T,1,1,2,NA,NA,NA,0.990493894,247.6234734,1,7,B7
481,738,f,C,2,2,4,1854.373291,695389.9841,1,4.093358517,1023.339629,1,NA,NA
482,738,f,C,3,3,6,0,0,0,NA,NA,NA,6,H7
483,738,f,C,1,1,2,371.938324,139476.8715,1,0.005970712,1.492677955,1,6,E7
484,738,f,C,3,1,4,0.167760789,62.91029602,1,0,0,0,15,D5
485,738,f,C,3,2,5,0,0,0,0,0,0,10,F10
486,738,f,C,3,3,6,0.071286105,26.73228923,1,NA,NA,NA,NA,NA
487,738,f,C,3,1,4,1810.681396,679005.5237,1,0,0,0,11,G9
488,738,f,C,3,2,5,10.57907963,3967.15486,1,0,0,0,15,C8
489,738,f,C,3,3,6,1.791655779,671.8709171,1,NA,NA,NA,4,H10
490,738,f,C,3,1,4,13.85608959,5196.033597,1,0.480123609,120.0309023,1,3,A5
491,738,f,C,3,2,5,0,0,0,0.370750308,92.68757701,1,16,E5
492,738,f,C,3,3,6,0,0,0,0,0,0,19,G5
493,738,f,C,3,1,4,0.311513245,116.8174669,1,0.217105761,54.27644029,1,3,F6
494,738,f,C,2,1,3,0,0,0,NA,NA,NA,5,H5
495,738,f,C,2,2,4,0,0,0,0,0,0,NA,NA
496,738,f,C,2,3,5,0,0,0,0.021981655,5.495413672,1,9,A9
497,738,f,C,1,2,3,3654.28125,1370355.469,1,0.120230027,30.05750664,1,15,G6
498,738,f,C,2,1,3,1190.430054,446411.2701,1,0,0,0,19,G11
499,738,f,C,2,2,4,0,0,0,0,0,0,19,H9
500,738,f,C,2,3,5,0,0,0,0.007547005,1.88675127,1,17,G9
501,738,f,C,2,1,3,5297.976563,1986741.211,1,0,0,0,15,G9
502,738,f,C,2,2,4,0,0,0,0,0,0,13,A8
503,738,f,C,2,3,5,0,0,0,NA,NA,NA,8,A10
504,738,f,C,2,1,3,0,0,0,0,0,0,15,F8
505,738,f,C,1,3,4,4411.47168,1654301.88,1,0.047359236,11.8398089,1,17,D7
506,738,f,C,1,1,2,1414.980225,530617.5842,1,0,0,0,15,H9
507,738,f,C,1,2,3,0.22289443,83.58541131,1,0,0,0,13,B10
508,738,f,C,1,3,4,27.86725616,10450.22106,1,0,0,0,15,C7
509,738,f,C,1,1,2,4990.069336,1871276.001,1,0,0,0,17,C5
