Vial,Line,Sex,pastrel_SNP,Infection_Duration,Infection_Day,Collection_Day,Viral Load,Viral Load per Fly,Threshold_InfectionPA,Virus Shed,Virus Shed per Fly,SheddingPA,Shed Plate,Shed Well
794,502,f,C,1,2,3,0,0,0,0,0,0,21,D5
920,818,f,T,1,1,2,0,0,0,0,0,0,6,B9
921,818,f,T,2,2,4,NA,NA,NA,0,0,0,6,E10
922,818,f,T,3,3,6,0,0,0,0,0,0,6,A6
923,818,f,T,3,1,4,0,0,0,0,0,0,6,D10
924,818,f,T,3,2,5,0,0,0,NA,NA,NA,14,E9
925,818,f,T,3,3,6,0,0,0,0.48305735,120.7643375,1,9,B9
926,818,f,T,3,1,4,0,0,0,0.127016351,31.75408766,1,18,C11
927,818,f,T,3,2,5,163.010437,61128.91388,1,1.076251984,269.0629959,1,21,E9
928,818,f,T,3,3,6,0,0,0,0.246219218,61.55480444,1,20,H6
929,818,f,T,3,1,4,0.000346671,0.130001659,1,0,0,0,19,C6
930,818,f,T,3,2,5,0,0,0,0,0,0,2,H5
931,818,f,T,3,3,6,0,0,0,0,0,0,6,A9
932,818,f,T,3,1,4,0,0,0,0,0,0,6,C6
933,818,f,T,3,2,5,0,0,0,0.262977719,65.74442983,1,5,D7
934,818,f,T,2,1,3,NA,NA,NA,0,0,0,21,B5
935,818,f,T,2,2,4,0,0,0,1.608227611,402.0569026,1,NA,NA
936,818,f,T,2,3,5,0,0,0,0,0,0,16,F5
937,818,f,T,2,1,3,NA,NA,NA,4.491394997,1122.848749,1,21,A8
938,818,f,T,2,2,4,NA,NA,NA,0,0,0,11,B10
939,818,f,T,2,3,5,NA,NA,NA,0,0,0,21,C11
940,818,f,T,2,1,3,NA,NA,NA,0,0,0,NA,NA
941,818,f,T,2,2,4,NA,NA,NA,0,0,0,16,B9
942,818,f,T,2,3,5,NA,NA,NA,0.966039836,241.5099591,1,4,B5
943,818,f,T,2,1,3,NA,NA,NA,0,0,0,16,B4
944,818,f,T,2,2,4,NA,NA,NA,4.789943695,1197.485924,1,21,B12
945,818,f,T,2,3,5,10.13391781,3800.219178,1,0,0,0,15,A4
947,818,f,T,1,3,4,0.172208354,64.5781327,1,3.201707363,800.4268408,1,7,B8
948,818,f,T,1,1,2,943.5550537,353833.1451,1,0,0,0,9,D10
949,818,f,T,1,2,3,0,0,0,0.671190917,167.7977294,1,NA,NA
950,818,f,T,1,3,4,3235.33667,1213251.251,1,0,0,0,3,D5
951,818,f,T,1,1,2,451.6827393,169381.0272,1,0,0,0,16,G4
952,818,f,T,1,2,3,90.29885101,33862.06913,1,0,0,0,NA,NA
953,818,f,T,1,3,4,0.213157728,79.93414812,1,0,0,0,6,D5
954,818,f,T,1,1,2,0.037169222,13.93845817,1,3.221020699,805.2551746,1,21,A7
955,818,f,T,1,2,3,61594.74609,23098029.79,1,0.180346832,45.08670792,1,20,B7
956,818,f,T,1,3,4,0,0,0,0,0,0,11,B7
957,818,f,T,1,1,2,476.6087036,178728.2639,1,0,0,0,NA,NA
34,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,H7
